id	myErr	umfErr	ratio	myElaps	umfElaps	ratio	mynnz	umfnnz	ratio	myflop	umfflop	ratio
189	8.11469e-08	2.26437e-13	358364	1.71783	0.04406	38.9884	353942	292788	1.20887	2.64275e+07	1.89484e+07	1.39471	Pass
2563	1.96426e-06	6.80739e-15	2.88548e+08	0.598078	0.015646	38.2256	96296	58358	1.65009	1.71997e+06	659022	2.60988	Pass
2706	1.24664e-11	3.981e-14	313.147	6.28105	0.016557	379.359	1.41295e+06	87262	16.1921	6.96924e+08	1.97948e+06	352.074	Pass
754	2.85031e-12	1.7264e-14	165.101	0.599149	0.026678	22.4585	97055	52710	1.8413	1.99707e+06	410548	4.8644	Pass
2410	1.2244e-11	1.05509e-12	11.6046	1.47198	0.049981	29.4508	314763	211956	1.48504	1.98003e+07	8.99318e+06	2.2017	Pass
416	3.58976e-05	1.05499e-15	3.40266e+10	0.499518	0.006242	80.0253	80003	36331	2.20206	8.7975e+06	1.65178e+06	5.32609	Fail
2678	9.01188e-07	3.99158e-15	2.25772e+08	2.99316	0.059468	50.3323	398386	117102	3.40204	5.10665e+07	3.62522e+06	14.0864	Pass
2409	6.46553e-11	3.85539e-13	167.701	1.23085	0.038484	31.9835	289943	203711	1.42331	1.61767e+07	7.67776e+06	2.10695	Pass
457	3.27436e-11	4.47553e-15	7316.15	1.02733	0.022056	46.5783	154347	103183	1.49586	1.08842e+07	6.79421e+06	1.60199	Pass
456	9.31328e-08	2.50234e-16	3.72182e+08	0.86375	0.003671	235.29	67945	24011	2.82974	2.04952e+06	85826	23.8799	Pass
917	2.31401e-08	6.22336e-14	371827	2.12815	0.056957	37.3642	409801	279277	1.46736	2.58032e+07	1.16062e+07	2.22322	Pass
1328	2.7496e-05	1.22976e-15	2.23589e+10	0.769649	0.024532	31.3733	137523	38188	3.60121	1.94565e+07	2.21706e+06	8.77584	Fail
2732	4.40169e-10	4.9734e-15	88504.5	9.72385	0.046463	209.281	2.08411e+06	128143	16.264	1.78035e+09	5.21879e+06	341.141	Pass
1541	1.06798e-10	1.24034e-13	861.031	2.89214	0.024607	117.533	643020	77592	8.28719	1.94208e+08	3.34368e+06	58.0822	Pass
2827	2.24281e-09	1.98327e-16	1.13086e+07	0.998017	0.02077	48.0509	189500	80191	2.36311	1.02553e+07	2.01115e+06	5.09924	Pass
332	1.64059e-08	2.00275e-13	81917.1	2.34293	0.037918	61.7894	541469	264334	2.04843	5.23581e+07	1.75998e+07	2.97492	Pass
