id,nnzA,myErr,umfErr,logratio,myElaps,umfElaps,ratio,mynnz,umfnnz,ratio,myflop,umfflop,ratio
449,15,1.38778e-17,2.77556e-17,-0.693147,8.08164e-05,0.231769,0.000348694,20,19,1.05263,18,18,1,Pass
185,50,7.77156e-16,0,Inf,0.000226989,0.005264,0.043121,36,27,1.33333,247,116,2.12931,Pass
186,76,1.05471e-15,2.77556e-17,3.63759,0.000206135,0.000334,0.617171,52,39,1.33333,546,303,1.80198,Pass
1199,98,5.73847e-14,3.03577e-17,7.54448,0.000263162,0.000403,0.653007,153,130,1.17692,408,197,2.07107,Pass
13,131,1.55431e-15,2.77556e-17,4.02535,0.000327937,0.001996,0.164297,174,149,1.16779,430,353,1.21813,Pass
464,144,1.76844e-15,1.83187e-15,-0.0352372,0.000398606,0.000418,0.953603,231,206,1.12136,452,336,1.34524,Pass
97,160,2.77556e-16,8.32667e-17,1.20397,0.00038898,0.000406,0.958079,126,102,1.23529,1421,1172,1.21246,Pass
14,167,1.33227e-15,8.32667e-17,2.77259,0.000395693,0.000374,1.058,220,183,1.20219,662,557,1.18851,Pass
1177,169,3.88578e-16,8.32667e-17,1.54045,0.000289045,0.000371,0.779097,127,102,1.2451,1918,1422,1.3488,Pass
232,180,8.40055e-09,4.85723e-16,16.6659,0.000312164,0.000544,0.573831,299,282,1.06028,1367,1263,1.08234,Pass
103,218,5.32907e-15,4.996e-16,2.36712,0.000471748,0.00039,1.20961,322,261,1.23372,1109,731,1.5171,Pass
133,222,3.46945e-17,3.46945e-18,2.30259,0.000377305,0.00041,0.920256,250,216,1.15741,617,566,1.09011,Pass
462,188,8.28219e-18,6.10623e-16,-4.30037,0.000488006,0.000691,0.706232,348,284,1.22535,820,494,1.65992,Pass
129,267,2.44249e-15,2.08167e-17,4.76502,0.000331864,0.00055,0.603389,371,315,1.17778,2371,1903,1.24593,Pass
274,281,0,0,NaN,0.000359975,0.000538,0.669099,297,205,1.44878,1663,873,1.90493,Pass
109,291,3.55271e-15,2.77556e-17,4.85203,0.000435755,0.000597,0.729908,344,243,1.41564,2828,1660,1.70361,Pass
262,292,2.02078e-14,1.44329e-15,2.63914,0.000673033,0.000877,0.767426,952,631,1.50872,8010,3060,2.61765,Pass
861,306,7.97973e-17,8.89046e-17,-0.108074,0.000489779,0.000449,1.09082,504,503,1.00199,999,999,1,Pass
172,196,2.9925e-15,7.4721e-17,3.6901,0.00040751,0.000521,0.782169,328,299,1.09699,1400,1194,1.17253,Pass
132,320,6.93889e-17,5.20417e-17,0.287682,0.000321805,0.000328,0.981113,302,272,1.11029,833,725,1.14897,Pass
296,211,2.37434e-19,1.249e-16,-6.26538,0.000413217,0.000658,0.627989,460,329,1.39818,3700,1657,2.23295,Pass
264,63,9.29812e-16,5.58591e-17,2.81215,0.000284851,0.000361,0.789061,110,89,1.23596,230,135,1.7037,Pass
